Size, BubbleSort, InsertionSort, QuickSort, MergeSort
11800, 216.795800, 34.686700, 1.197050, 1.314150
11900, 227.486700, 33.913800, 1.160150, 1.162950
12000, 231.960600, 33.621600, 1.298400, 1.553300
12100, 238.836000, 31.809000, 1.138350, 1.453050
12200, 234.085500, 37.245000, 1.240100, 1.312800
12300, 237.240100, 39.012800, 1.043150, 1.329500
12400, 228.400500, 32.525700, 1.005950, 1.175100
12500, 221.586900, 38.826000, 1.021450, 1.332800
12600, 258.580200, 39.550800, 1.003500, 1.259250
12700, 260.544200, 38.979100, 1.064950, 1.193300
12800, 255.344700, 39.912700, 1.094050, 1.276700
12900, 271.863400, 40.886900, 1.186150, 1.359050
13000, 276.762300, 42.404100, 1.104600, 1.375100
13100, 277.290900, 41.252300, 1.156450, 1.583500
13200, 282.193700, 43.792400, 1.704900, 1.753500
13300, 286.538200, 38.666600, 1.315900, 1.551000
13400, 286.255000, 40.344300, 1.087650, 1.535600
13500, 298.815900, 43.164300, 1.028900, 1.403050
13600, 295.358500, 44.227300, 1.314000, 1.263500
13700, 297.315000, 41.928500, 1.250400, 1.447050
13800, 316.971000, 45.686000, 1.624850, 1.400800
13900, 324.630400, 47.959700, 1.434200, 1.418000
14000, 329.398400, 49.278200, 1.241600, 1.455550
14100, 318.291200, 48.159700, 1.202500, 1.827050
14200, 338.653000, 47.285100, 1.122350, 1.514800
14300, 334.790100, 47.696300, 1.256000, 1.444100
14400, 343.276800, 50.442600, 1.284250, 1.523550
14500, 365.775100, 50.683200, 1.904600, 1.481950
14600, 366.311900, 51.775400, 1.807950, 1.638950
14700, 374.798500, 52.723200, 1.469650, 1.480600
14800, 378.762700, 50.865200, 1.480400, 1.613800
14900, 389.132700, 50.636900, 1.390500, 1.855150
15000, 393.674500, 53.012800, 1.462050, 1.735750
15100, 404.274000, 54.297800, 1.417400, 1.686150
15200, 406.093800, 60.329400, 1.466800, 1.786300
15300, 399.259900, 56.937400, 1.946550, 1.602550
15400, 419.059300, 57.194500, 1.569300, 1.628200
15500, 412.424800, 58.622500, 1.332550, 1.715700
15600, 429.460800, 63.114400, 1.872550, 1.979700
15700, 431.263400, 57.778700, 1.332950, 1.882800
15800, 437.125500, 59.264300, 1.510650, 1.936700
15900, 394.332600, 48.838700, 1.282750, 1.552500
16000, 384.930200, 52.536200, 1.410300, 1.567850
16100, 377.705300, 54.595500, 1.409500, 1.712650
16200, 380.520600, 50.362400, 1.326150, 1.579450
16300, 463.464600, 62.878700, 1.504100, 1.573500
16400, 474.169300, 66.163000, 1.524650, 1.867150
16500, 481.478700, 64.229400, 1.365600, 1.826800
16600, 490.862800, 67.926900, 1.661750, 1.897000
16700, 510.367000, 63.319200, 1.797750, 3.649200
16800, 519.241700, 70.569200, 1.953100, 1.871500
16900, 527.548600, 68.136200, 1.463000, 1.808500
17000, 531.830200, 67.824200, 1.492900, 1.727300
17100, 523.223900, 67.258900, 1.680050, 1.880800
17200, 529.697600, 68.271400, 1.450750, 1.969550
17300, 544.215300, 69.781900, 2.304100, 2.702850
17400, 546.403500, 73.946600, 1.660900, 2.251150
17500, 551.682500, 77.534900, 1.577950, 2.274750
17600, 548.141300, 73.674600, 1.555250, 2.390800
17700, 576.427500, 81.141100, 1.581950, 2.249850
17800, 571.079100, 74.496300, 1.823800, 2.160250
17900, 585.067000, 72.436000, 1.762250, 2.662500
18000, 585.054800, 76.982400, 1.629650, 1.812200
18100, 595.224200, 78.538900, 1.846900, 2.072650
18200, 614.710100, 74.192700, 1.652050, 2.081150
18300, 609.836300, 82.724600, 1.668200, 2.075150
18400, 631.817100, 79.613800, 1.867700, 2.148950
18500, 639.813800, 79.965000, 1.786800, 2.004250
18600, 637.850600, 84.959200, 1.898300, 2.203800
18700, 659.983300, 83.374200, 1.893250, 1.908700
18800, 646.024500, 86.417600, 1.937900, 2.013600
18900, 652.344400, 86.391700, 1.784250, 2.304400
19000, 670.851900, 87.609300, 1.834000, 2.088700
19100, 680.937100, 84.903600, 2.327500, 2.151200
19200, 692.738300, 86.761000, 1.722400, 1.893400
19300, 583.796200, 70.901200, 1.743800, 2.134000
